Datum,Zeit,Lot-Nr.,Subsystem,Ereignis & Massnahme,Visum
2025-01-10,06:29,30983017,52003.001,"Störung: Auswerfer fährt nicht, Reset nötig.",ML
2025-01-10,06:33,30983017,52003.001,"Musterung: Spezialteam Process Engineering prüft, Serie noch nicht freigegeben.",WS
2025-01-10,06:19,30983017,52003-001,"Qualifizierung OQ/PQ: Werte dokumentiert, alles im grünen Bereich.",ML
2025-01-10,11:54,30983017,52003.001,"Vakuumleitung lose, hab wieder richtig gemacht, läuft.",EL
2025-01-10,06:25,30983017,52003-001,"Lot-Start: Kette für Tip eingeleitet, Rohmaterial geladen, Werkzeug geprüft, Serie freigegeben.",FS
2025-01-10,13:52,30983017,52003.001,Nach Lotwechsel: Produktion von Tip läuft stabil.,GS
2025-01-10,21:03,30983017,52003-001,"Operator meldet Farbumschlag nicht sauber, Gerät gereinigt.",ML
2025-01-10,21:28,30983017,52003.001,"Qualifizierung OQ/PQ: Werte dokumentiert, alles im grünen Bereich.",OM
2025-01-10,19:33,30983017,52003.001,"Musterung: Spezialteam Process Engineering prüft, Serie noch nicht freigegeben.",OM
2025-01-11,23:23,30983017,52003-001,"Störung: Düse leckt minimal, kurzer Stillstand zum Abdichten.",PB
2025-01-11,05:47,30983017,52003.001,Nach Lotwechsel: Produktion von Tip läuft stabil.,IS
2025-01-11,00:55,30983017,52003.001,"Operator meldet Farbumschlag nicht sauber, Gerät gereinigt.",GS
2025-01-11,06:30,30983017,52003.001,"Teileauswurf leicht verzögert, Mechanik geölt.",GS
2025-01-11,07:46,30983017,52003-001,"Vakuumleitung lose, hab wieder richtig gemacht, läuft.",MA
2025-01-11,11:25,30983017,52003.001,"Teileauswurf leicht verzögert, Mechanik geölt.",SK
2025-01-11,10:25,30983017,52003-001,"Musterung: Spezialteam Process Engineering prüft, Serie noch nicht freigegeben.",PB
2025-01-11,07:18,30983017,52003.001,Nach Lotwechsel: Produktion von Tip läuft stabil.,GS
2025-01-11,07:23,30983017,52003.001,"Musterung: Spezialteam Process Engineering prüft, Serie noch nicht freigegeben.",DR
2025-01-11,21:09,30983017,52003-001,Prozessdaten NICHT verändert. Einstellungen fix!,EL
2025-01-11,17:40,30983017,52003.001,"Störung: Auswerfer fährt nicht, Reset nötig.",AP
2025-01-11,18:53,30983017,52003.001,"Teileauswurf leicht verzögert, Mechanik geölt.",PB
2025-01-12,23:24,30983017,52003.001,Prozessdaten minimal angepasst wegen Störung (Genehmigung liegt vor).,OM
2025-01-12,00:06,30983017,52003O01,"Vakuumförderung Material kurz gestört, Leitung geprüft und gesäubert.",DN
2025-01-12,03:34,30983017,52003.001,Routinekontrolle Temperiergerät T4. Temperatur stabil.,DR
2025-01-12,13:54,30983017,52003.001,"Lot-Beendet: Reinigung Tip, Werkzeugwechsel vorbereitet, alle Dokumente aktualisiert.",DN
2025-01-12,07:42,30983017,52003.001,Routinekontrolle Temperiergerät T1. Temperatur stabil.,OM
2025-01-12,08:36,30983017,52003-001,Nach Lotwechsel: Produktion von Tip läuft stabil.,GS
2025-01-12,12:51,30983017,52003.001,Nach Lotwechsel: Produktion von Tip läuft stabil.,DR
2025-01-12,10:01,30983017,52003-001,"Störung: Düse leckt minimal, kurzer Stillstand zum Abdichten.",ML
2025-01-12,16:03,30983017,52003-001,"Vakuumförderung Material kurz gestört, Leitung geprüft und gesäubert.",FS
2025-01-12,20:50,30983017,52003-001,"Maschine heut' bisschen laut, nix schlimmes, läuft trotzdem.",EL
2025-01-12,14:51,30983017,52003-001,"Operator meldet Farbumschlag nicht sauber, Gerät gereinigt.",AJ
2025-01-13,23:40,30983017,52003.001,Prozessdaten minimal angepasst wegen Störung (Genehmigung liegt vor).,ML
2025-01-13,02:23,30983017,52003-001,"Qualifizierung OQ/PQ: Werte dokumentiert, alles im grünen Bereich.",EL
2025-01-13,05:06,30983017,52003.001,"Lot-Beendet: Reinigung Tip, Werkzeugwechsel vorbereitet, alle Dokumente aktualisiert.",DN
2025-01-13,05:06,30983017,52003-001,"Teileauswurf leicht verzögert, Mechanik geölt.",GS
2025-01-13,10:12,30983017,52003.001,"Störung: Auswerfer fährt nicht, Reset nötig.",SK
2025-01-13,09:26,30983017,52003.001,Prozessdaten NICHT verändert. Einstellungen fix!,SK
2025-01-13,07:52,30983017,52003.001,"Musterung: Spezialteam Process Engineering prüft, Serie noch nicht freigegeben.",MA
2025-01-13,08:09,30983017,52003.001,Routinekontrolle Temperiergerät T3. Temperatur stabil.,MR
2025-01-13,13:07,30983017,52003O01,Masterbatchnachfüllung am Dosiergerät durchgeführt.,PB
2025-01-13,12:32,30983017,52003.001,"Störung: Auswerfer fährt nicht, Reset nötig.",AP
2025-01-13,17:38,30983017,52003.001,"Störung: Auswerfer fährt nicht, Reset nötig.",MA
2025-01-13,18:16,30983017,52003-001,Prozessdaten NICHT verändert. Einstellungen fix!,WS
2025-01-13,17:55,30983017,52003O01,Prozessdaten NICHT verändert. Einstellungen fix!,AJ
2025-01-13,14:18,30983017,52003.001,Prozessdaten NICHT verändert. Einstellungen fix!,WS
2025-01-13,18:33,30983017,52003-001,Routinekontrolle Temperiergerät T2. Temperatur stabil.,MR
2025-01-13,14:00,30983017,52003-001,"Lot-Start: Kette für Tip eingeleitet, Rohmaterial geladen, Werkzeug geprüft, Serie freigegeben.",OM
2025-01-14,02:13,30983017,52003.001,Prozessdaten NICHT verändert. Einstellungen fix!,MA
2025-01-14,23:49,30983017,52003-001,"Teileauswurf leicht verzögert, Mechanik geölt.",IS
2025-01-14,02:18,30983017,52003.001,Prozessdaten minimal angepasst wegen Störung (Genehmigung liegt vor).,GS
2025-01-14,01:42,30983017,52003.001,Prozessdaten minimal angepasst wegen Störung (Genehmigung liegt vor).,FS
2025-01-14,07:34,30983017,52003-001,Masterbatchnachfüllung am Dosiergerät durchgeführt.,PB
2025-01-14,06:54,30983017,52003.001,"Musterung: Spezialteam Process Engineering prüft, Serie noch nicht freigegeben.",SK
2025-01-14,09:50,30983017,52003-001,"Teileauswurf leicht verzögert, Mechanik geölt.",SR
2025-01-14,19:04,30983017,52003-001,Nach Lotwechsel: Produktion von Tip läuft stabil.,MR
2025-01-14,17:26,30983017,52003.001,Prozessdaten minimal angepasst wegen Störung (Genehmigung liegt vor).,OM
2025-01-14,19:09,30983017,52003-001,"Störung: Düse leckt minimal, kurzer Stillstand zum Abdichten.",GS
2025-01-14,16:28,30983017,52003-001,"Reinigung Förderband, Teilefluss wieder ok.",PB
2025-01-14,17:36,30983017,52003.001,"Störung: Auswerfer fährt nicht, Reset nötig.",GS
2025-01-15,03:52,30983028,52003.001,"Reinigung Förderband, Teilefluss wieder ok.",FS
2025-01-15,01:22,30983028,52003.001,"Heut wieder Farbwechsel, alles durcheinander, ich alles richtig gemacht.",OM
2025-01-15,22:21,30983028,52003.001,"Qualifizierung OQ/PQ: Werte dokumentiert, alles im grünen Bereich.",DN
2025-01-15,02:27,30983028,52003.001,"Vakuumförderung Material kurz gestört, Leitung geprüft und gesäubert.",DR
2025-01-15,05:50,30983028,52003-001,"Störung: Düse leckt minimal, kurzer Stillstand zum Abdichten.",FS
2025-01-15,10:31,30983028,52003.001,"Reinigung Förderband, Teilefluss wieder ok.",FS
2025-01-15,10:36,30983028,52003.001,"Qualifizierung OQ/PQ: Werte dokumentiert, alles im grünen Bereich.",DN
2025-01-15,09:23,30983028,52003-001,Nach Lotwechsel: Produktion von Rack läuft stabil.,IS
2025-01-15,08:45,30983028,52003-001,Nach Lotwechsel: Produktion von Rack läuft stabil.,AJ
2025-01-15,18:09,30983028,52003O01,"Kollege hat heute alles bissel schmutzig gelassen, ich sauber gemacht.",IS
2025-01-15,19:41,30983028,52003.001,Prozessdaten NICHT verändert. Einstellungen fix!,DR
2025-01-15,20:44,30983028,52003-001,"Teileauswurf leicht verzögert, Mechanik geölt.",WS
2025-01-16,22:56,30983028,52003-001,"Teileauswurf leicht verzögert, Mechanik geölt.",DN
2025-01-16,01:09,30983028,52003.001,Schmierzyklus durchgeführt. Keine Auffälligkeiten.,ML
2025-01-16,01:02,30983028,52003.001,Masterbatchnachfüllung am Dosiergerät durchgeführt.,SR
2025-01-16,08:57,30983028,52003.001,"Vakuumleitung lose, hab wieder richtig gemacht, läuft.",MA
2025-01-16,10:34,30983028,52003.001,"Qualifizierung OQ/PQ: Werte dokumentiert, alles im grünen Bereich.",DR
2025-01-16,11:09,30983028,52003.001,"Musterung: Spezialteam Process Engineering prüft, Serie noch nicht freigegeben.",MA
2025-01-16,14:10,30983028,52003-001,"Lot-Start: Kette für Rack eingeleitet, Rohmaterial geladen, Werkzeug geprüft, Serie freigegeben.",MR
2025-01-16,20:06,30983028,52003.001,"Operator meldet Farbumschlag nicht sauber, Gerät gereinigt.",MR
2025-01-16,17:20,30983028,52003-001,"Operator meldet Farbumschlag nicht sauber, Gerät gereinigt.",SR
2025-01-16,21:19,30983028,52003-001,"Qualifizierung OQ/PQ: Werte dokumentiert, alles im grünen Bereich.",SK
2025-01-16,16:17,30983028,52003-001,"Maschine heut' bisschen laut, nix schlimmes, läuft trotzdem.",EL
2025-01-16,17:14,30983028,52003.001,"Störung: Düse leckt minimal, kurzer Stillstand zum Abdichten.",MA
2025-01-17,05:01,30983028,52003.001,"Störung: Düse leckt minimal, kurzer Stillstand zum Abdichten.",FS
2025-01-17,22:26,30983028,52003-001,"Lot-Start: Kette für Rack eingeleitet, Rohmaterial geladen, Werkzeug geprüft, Serie freigegeben.",FS
2025-01-17,03:42,30983028,52003.001,"Maschine heut' bisschen laut, nix schlimmes, läuft trotzdem.",MA
2025-01-17,22:25,30983028,52003-001,Prozessdaten NICHT verändert. Einstellungen fix!,EL
2025-01-17,09:03,30983028,52003-001,"Reinigung Förderband, Teilefluss wieder ok.",SR
2025-01-17,07:50,30983028,52003O01,Schmierzyklus durchgeführt. Keine Auffälligkeiten.,AP
2025-01-17,06:02,30983028,52003-001,"Störung: Düse leckt minimal, kurzer Stillstand zum Abdichten.",FS
2025-01-17,08:16,30983028,52003.001,"Kollege hat heute alles bissel schmutzig gelassen, ich sauber gemacht.",MA
2025-01-17,06:57,30983028,52003.001,"Kollege hat heute alles bissel schmutzig gelassen, ich sauber gemacht.",IS
2025-01-17,16:35,30983028,52003-001,Masterbatchnachfüllung am Dosiergerät durchgeführt.,SK
2025-01-17,16:45,30983028,52003-001,"Störung: Düse leckt minimal, kurzer Stillstand zum Abdichten.",DN
2025-01-17,20:28,30983028,52003.001,"Musterung: Spezialteam Process Engineering prüft, Serie noch nicht freigegeben.",FS
2025-01-17,19:43,30983028,52003.001,"Heut wieder Farbwechsel, alles durcheinander, ich alles richtig gemacht.",IS
2025-01-17,17:30,30983028,52003.001,"Reinigung Förderband, Teilefluss wieder ok.",GS
2025-01-18,03:18,30983028,52003.001,"Operator meldet Farbumschlag nicht sauber, Gerät gereinigt.",DR
2025-01-18,02:06,30983028,52003.001,"Vakuumförderung Material kurz gestört, Leitung geprüft und gesäubert.",SK
2025-01-18,04:33,30983028,52003.001,"Vakuumförderung Material kurz gestört, Leitung geprüft und gesäubert.",ML
2025-01-18,13:35,30983028,52003.001,"Qualifizierung OQ/PQ: Werte dokumentiert, alles im grünen Bereich.",AP
2025-01-18,07:40,30983028,52003-001,"Vakuumleitung lose, hab wieder richtig gemacht, läuft.",MA
2025-01-18,07:21,30983028,52003-001,Nach Lotwechsel: Produktion von Rack läuft stabil.,WS
2025-01-18,11:32,30983028,52003.001,"Störung: Auswerfer fährt nicht, Reset nötig.",OM
2025-01-18,06:15,30983028,52003-001,"Qualifizierung OQ/PQ: Werte dokumentiert, alles im grünen Bereich.",WS
2025-01-18,20:25,30983028,52003-001,Prozessdaten NICHT verändert. Einstellungen fix!,FS
2025-01-18,18:24,30983028,52003-001,"Reinigung Förderband, Teilefluss wieder ok.",AP
2025-01-18,15:08,30983028,52003.001,"Störung: Düse leckt minimal, kurzer Stillstand zum Abdichten.",AJ
2025-01-18,14:21,30983028,52003-001,"Lotnummer wieder falsch, hab verbessert, passt jetz.",IS
2025-01-18,18:44,30983028,52003.001,Masterbatchnachfüllung am Dosiergerät durchgeführt.,FS
2025-01-19,02:21,30983028,52003.001,Routinekontrolle Temperiergerät T2. Temperatur stabil.,AP
2025-01-19,03:53,30983028,52003.001,"Reinigung Förderband, Teilefluss wieder ok.",PB
2025-01-19,05:08,30983028,52003.001,Schmierzyklus durchgeführt. Keine Auffälligkeiten.,AJ
2025-01-19,05:33,30983028,52003-001,"Vakuumförderung Material kurz gestört, Leitung geprüft und gesäubert.",DR
2025-01-19,22:59,30983028,52003.001,Masterbatchnachfüllung am Dosiergerät durchgeführt.,PB
2025-01-19,22:43,30983028,52003.001,Prozessdaten NICHT verändert. Einstellungen fix!,WS
2025-01-19,08:02,30983028,52003-001,Schmierzyklus durchgeführt. Keine Auffälligkeiten.,MR
2025-01-19,06:06,30983028,52003-001,Masterbatchnachfüllung am Dosiergerät durchgeführt.,AJ
2025-01-19,13:50,30983028,52003-001,Routinekontrolle Temperiergerät T2. Temperatur stabil.,WS
2025-01-19,13:17,30983028,52003-001,"Heut wieder Farbwechsel, alles durcheinander, ich alles richtig gemacht.",MA
2025-01-19,11:15,30983028,52003-001,Prozessdaten NICHT verändert. Einstellungen fix!,AJ
2025-01-19,16:36,30983028,52003-001,"Störung: Düse leckt minimal, kurzer Stillstand zum Abdichten.",DN
2025-01-19,15:38,30983028,52003.001,"Teileauswurf leicht verzögert, Mechanik geölt.",GS
2025-01-19,15:36,30983028,52003-001,"Qualifizierung OQ/PQ: Werte dokumentiert, alles im grünen Bereich.",EL
2025-01-19,15:50,30983028,52003.001,Prozessdaten minimal angepasst wegen Störung (Genehmigung liegt vor).,OM
2025-01-20,22:31,30983028,52003O01,"Vakuumförderung Material kurz gestört, Leitung geprüft und gesäubert.",DR
2025-01-20,04:31,30983028,52003.001,"Störung: Auswerfer fährt nicht, Reset nötig.",DN
2025-01-20,05:22,30983028,52003-001,"Lot-Beendet: Reinigung Rack, Werkzeugwechsel vorbereitet, alle Dokumente aktualisiert.",DN
2025-01-20,03:27,30983028,52003-001,"Musterung: Spezialteam Process Engineering prüft, Serie noch nicht freigegeben.",GS
2025-01-20,23:52,30983028,52003.001,Schmierzyklus durchgeführt. Keine Auffälligkeiten.,FS
